# Data from Dorner, B., R.M. Peterman, and S.L. Haeseker. 2008. Historical trends in productivity of 120 Pacific pink, chum, and sockeye salmon stocks reconstructed by using a Kalman filter. Canadian Journal of Fisheries and Aquatic Sciences 65(9): 1842-1866. 
# Contact Randall Peterman for use
# Sockeye salmon
# West Coast of North America
#
Brood_Year	Stock	Region	Area	Spawners	Returns
1967	Washington	Puget Sound	South	635.8	545.8
1968	Washington	Puget Sound	South	270.4	312.57
1969	Washington	Puget Sound	South	322.1	454.49
1970	Washington	Puget Sound	South	169.5	173.6
1971	Washington	Puget Sound	South	144.1	144.56
1972	Washington	Puget Sound	South	303.5	157.15
1973	Washington	Puget Sound	South	386.5	590.1
1974	Washington	Puget Sound	South	166.1	325.97
1975	Washington	Puget Sound	South	96.6	223.5
1976	Washington	Puget Sound	South	335.7	544.11
1977	Washington	Puget Sound	South	248.4	75.04
1978	Washington	Puget Sound	South	576.4	414.34
1979	Washington	Puget Sound	South	308.6	276.78
1980	Washington	Puget Sound	South	320.4	458.82
1981	Washington	Puget Sound	South	96.6	244.07
1982	Washington	Puget Sound	South	171.2	291.49
1983	Washington	Puget Sound	South	111.9	204.1
1984	Washington	Puget Sound	South	423	676.7
1985	Washington	Puget Sound	South	80.5	92.67
1986	Washington	Puget Sound	South	61.9	83.58
1987	Washington	Puget Sound	South	50.9	98.36
1988	Washington	Puget Sound	South	209.4	150.96
1989	Washington	Puget Sound	South	25.4	96.77
1990	Washington	Puget Sound	South	37.3	161.16
1991	Washington	Puget Sound	South	21.2	21.61
1992	Washington	Puget Sound	South	174.6	491.99
1993	Washington	Puget Sound	South	184.8	98.56
1950	Adams	Fraser	South	1259.38	9814.6
1951	Adams	Fraser	South	143.5	529.38
1952	Adams	Fraser	South	7.32	17.93
1953	Adams	Fraser	South	3.47	31
1954	Adams	Fraser	South	2009.23	15789.57
1955	Adams	Fraser	South	63.84	863.55
1956	Adams	Fraser	South	3.32	8.23
1957	Adams	Fraser	South	2.81	25.83
1958	Adams	Fraser	South	3287.68	2132.62
1959	Adams	Fraser	South	134.55	378.35
1960	Adams	Fraser	South	1.91	2.61
1961	Adams	Fraser	South	1.12	6.42
1962	Adams	Fraser	South	1113.09	2867.52
1963	Adams	Fraser	South	156.45	3112
1964	Adams	Fraser	South	0.6	19.48
1965	Adams	Fraser	South	1.8	50.85
1966	Adams	Fraser	South	1255.89	3947.76
1967	Adams	Fraser	South	838.95	3120.31
1968	Adams	Fraser	South	3.69	20.77
1969	Adams	Fraser	South	4.99	12.65
1970	Adams	Fraser	South	1495.5	5146.83
1971	Adams	Fraser	South	283.79	655.45
1972	Adams	Fraser	South	4.15	42.52
1973	Adams	Fraser	South	1.01	74.45
1974	Adams	Fraser	South	1061.77	6394.53
1975	Adams	Fraser	South	161.52	994.99
1976	Adams	Fraser	South	4.75	13.49
1977	Adams	Fraser	South	6.15	56.78
1978	Adams	Fraser	South	1699.33	7925.98
1979	Adams	Fraser	South	288.78	1469.68
1980	Adams	Fraser	South	2.48	22.89
1981	Adams	Fraser	South	6.22	3.43
1982	Adams	Fraser	South	2506.04	6768.79
1983	Adams	Fraser	South	204.03	1955.72
1984	Adams	Fraser	South	4.26	31.91
1985	Adams	Fraser	South	0.47	1.37
1986	Adams	Fraser	South	1663.13	7810.81
1987	Adams	Fraser	South	606.2	3866.55
1988	Adams	Fraser	South	4.81	6.89
1989	Adams	Fraser	South	0.08	4.39
1990	Adams	Fraser	South	2636.02	5523.09
1991	Adams	Fraser	South	1239.53	826.23
1992	Adams	Fraser	South	12.58	19.93
1993	Adams	Fraser	South	0.62	13.59
1994	Adams	Fraser	South	984.67	2032.06
1995	Adams	Fraser	South	399.35	757.35
1996	Adams	Fraser	South	11.77	41.43
1997	Adams	Fraser	South	0.98	NA
1998	Adams	Fraser	South	1080.65	NA
1950	Birken	Fraser	South	64.44	242.74
1951	Birken	Fraser	South	21.3	216.72
1952	Birken	Fraser	South	47.04	244.68
1953	Birken	Fraser	South	42.49	156.14
1954	Birken	Fraser	South	18.21	175.7
1955	Birken	Fraser	South	14.55	280.38
1956	Birken	Fraser	South	49.75	279.11
1957	Birken	Fraser	South	14.54	76.36
1958	Birken	Fraser	South	15.17	129.26
1959	Birken	Fraser	South	26.16	268.02
1960	Birken	Fraser	South	36.84	172.1
1961	Birken	Fraser	South	31.68	129.82
1962	Birken	Fraser	South	26.37	102.49
1963	Birken	Fraser	South	48.89	456.08
1964	Birken	Fraser	South	48.91	365.9
1965	Birken	Fraser	South	16.23	165.17
1966	Birken	Fraser	South	20.12	316.86
1967	Birken	Fraser	South	39.88	492.41
1968	Birken	Fraser	South	57.95	285.21
1969	Birken	Fraser	South	37.38	791.87
1970	Birken	Fraser	South	30.66	738.9
1971	Birken	Fraser	South	24.63	368.55
1972	Birken	Fraser	South	54.52	515.31
