stock, lat, long
"Early Stuart", "53 59 17","123 32 28"
"Bowron", "54 03 30","121 49 35"
"Gates", "50 33 07", "122 28 20"
"Nadina", "53 58 41","126 30 07"
"Pitt", "49 13 43","122 46 04"
"Raft", "51 37 55","119 59 32"
"Seymour", "51 14 19", "118 57 30"
"Chilko", "52 05 42","123 27 43"
"Horsefly", "52 27 58","121 23 18"
"Late Stuart", "53 59 17", "123 32 28"
"Stellako", "54 03 21","124 53 06"
"Birken", "50 18 22","122 36 20"
"Adams", "50 53 39", "119 33 14"
"Cultus", "49 03 16",	"121 59 06"
"Portage", "50 40 51", "121 55 43"
"Weaver", "49 18 50", "121 52 31"
