# From the Dorner et al. 2008 data
# These data show the stock locations
# Extracted from Dorneretal2008-PetermanSalmonDataBase.xls by Sean Anderson on 20140213
Species	Stock	Region	Latitude	Longitude	AlongShore.Distance	StockNumber
pink	Nooksack	Washington	48.78	122.60	78	1
pink	Skagit	Washington	48.39	122.37	46	2
pink	Stillaguamish	Washington	48.24	122.38	40	3
pink	Snohomish	Washington	48.02	122.21	20	4
pink	Puyallup	Washington	47.27	122.43	0	5
pink	Hood Canal	Washington	47.56	123.00	49	6
pink	Dungeness	Washington	48.15	123.13	84	7
pink	Fraser	BC South Coast	49.12	123.06	123	8
pink	Inner South Coast wo Fraser	BC South Coast	50.29	125.20	309	9
pink	Area 10	BC Central Coast	51.29	127.68	509	10
pink	Area 9	BC Central Coast	51.47	127.74	521	11
pink	Area 8	BC Central Coast	51.62	127.83	534	12
pink	Area 6	BC North Coast	53.09	129.20	685	13
pink	Area 2E	BC North Coast	53.02	131.58	831	14
pink	SEAK S	Southeast Alaska	55.72	131.87	970	15
pink	SEAK N Inside	Southeast Alaska	57.58	134.75	1234	16
pink	SEAK N Outside	Southeast Alaska	57.18	135.79	1281	17
pink	Situk R.	Yakutat	59.43	139.55	1614	18
pink	Humpy Cr.	Yakutat	59.64	139.58	1614	19
pink	PWS E D.	Prince William Sound	60.79	146.70	2006	20
pink	Montague	Prince William Sound	60.11	147.34	2082	21
pink	PWS SE D.	Prince William Sound	60.50	146.60	2001	22
pink	Cook S D.	Cook Inlet	59.53	151.48	2344	23
pink	Cook Outer D.	Cook Inlet	59.38	150.75	2302	24
pink	Kamishak	Cook Inlet	59.27	154.12	2510	25
pink	Afognak	Kodiak	58.26	152.59	2431	26
pink	Kodiak Wside	Kodiak	57.11	154.49	2565	27
pink	Alitak	Kodiak	56.89	154.12	2546	28
pink	Kodiak Eside-Nend	Kodiak	57.78	152.36	2424	29
pink	Kodiak Mainland	Kodiak	58.03	154.66	2562	30
pink	Chignik Bay	Chignik	56.39	158.23	2805	31
pink	Chignik Central	Chignik	56.60	157.99	2787	32
pink	Chignik E	Chignik	56.99	156.58	2695	33
pink	Chignik W	Chignik	56.07	158.68	2837	34
pink	Perryville	Chignik	55.85	159.33	2880	35
pink	AKPen NW	Alaska Peninsula	54.98	163.37	3141	36
pink	AKPen SE and Scentral	Alaska Peninsula	55.50	161.00	2988	37
pink	AKPen SW and Unimak	Alaska Peninsula	54.50	163.50	3156	38
pink	Nushagak	Bristol Bay	58.62	158.59	3364	39
pink	Nome	Norton Sound	64.48	165.31	4105	40
pink	Golovin	Norton Sound	64.54	163.03	4053	41
pink	Moses Pt and Norton Bay	Norton Sound	64.75	161.78	4000	42
pink	Unalakleet	Norton Sound	63.87	160.79	3825	43
chum	Willapa	Washington Outer Coast	46.37	123.96	39	1
chum	Grays Harbour	Washington Outer Coast	46.95	124.05	79	2
chum	Skagit	Puget Sound	48.39	122.37	46	3
chum	Nooksack	Puget Sound	48.78	122.60	85	4
chum	Stillaguamish	Puget Sound	48.24	122.38	38	5
chum	Hood Canal	Puget Sound	47.56	123.00	42	6
chum	S Sound Fall Run	Puget Sound	47.04	122.84	0	7
chum	S Sound Summer Run	Puget Sound	47.04	122.84	0	8
chum	S Sound Winter Run	Puget Sound	47.04	122.84	0	9
chum	Fraser	BC South Coast	49.12	123.06	137	10
chum	Inner South Coast wo Fraser	BC South Coast	50.29	125.20	354	11
chum	Area 10	BC Central Coast	51.29	127.68	585	12
chum	Area 9	BC Central Coast	51.47	127.74	600	13
chum	Area 8	BC Central Coast	51.62	127.83	615	14
chum	Area 6	BC North Coast	53.09	129.20	796	15
chum	Kadashan	Southeast Alaska	57.58	134.75	1444	16
chum	Alsek	Yakutat	59.43	139.55	1791	17
chum	PWS	Prince William Sound	60.50	147.00	2213	18
chum	Cook Outer D.	Cook Inlet	59.38	150.75	2462	19
chum	Cook S D.	Cook Inlet	59.53	151.48	2504	20
chum	Kamishak	Cook Inlet	59.27	154.12	2674	21
chum	Upper Cook	Cook Inlet	61.27	150.58	2405	22
chum	Kodiak	Kodiak	57.50	153.50	2722	23
chum	Chignik Central D.	Chignik	56.60	157.99	2980	24
chum	Chignik E D.	Chignik	56.99	156.58	2883	25
chum	Chignik W D.	Chignik	56.07	158.68	3036	26
chum	Perryville	Chignik	55.85	159.33	3082	27
chum	AKPen N	Alaska Peninsula	56.46	159.68	3449	28
chum	Izembek	Alaska Peninsula	55.32	162.85	3314	29
chum	Bechevin	Alaska Peninsula	54.98	163.37	3354	30
chum	AKPen SE and Scentral D.	Alaska Peninsula	55.50	161.00	3194	31
chum	AKPen SW and Unimak D.	Alaska Peninsula	54.50	163.50	3374	32
chum	Nushagak	Bristol Bay	58.62	158.59	3698	33
chum	Togiak	Bristol Bay	58.93	160.45	3810	34
chum	Yukon Fall Run	Arctic-Yukon-Kuskokwim	62.78	164.96	4303	35
chum	Anvik	Arctic-Yukon-Kuskokwim	62.78	164.96	4303	36
chum	Andreafsky	Arctic-Yukon-Kuskokwim	62.78	164.96	4303	37
chum	Kwiniuk and Tubutulik	Arctic-Yukon-Kuskokwim	64.72	161.96	4497	38
chum	Norton S. D.1	Arctic-Yukon-Kuskokwim	64.52	165.12	4497	39
chum	Kotzebue S.	Arctic-Yukon-Kuskokwim	66.46	161.91	4690	40
sockeye	Washington	Washington	47.68	122.42	0	1
sockeye	Early Stuart	Fraser Early Stuart	49.12	123.06	167	2
sockeye	Bowron	Fraser Early Summer	49.12	123.06	167	3
sockeye	Gates	Fraser Early Summer	49.12	123.06	167	4
sockeye	Nadina	Fraser Early Summer	49.12	123.06	167	5
sockeye	Pitt	Fraser Early Summer	49.12	123.06	167	6
sockeye	Raft	Fraser Early Summer	49.12	123.06	167	7
sockeye	Seymour	Fraser Early Summer	49.12	123.06	167	8
sockeye	Chilko	Fraser Summer	49.12	123.06	167	9
sockeye	Horsefly	Fraser Summer	49.12	123.06	167	10
